,country,png,region,sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,cat
Nokia,Finland,https://www.interbrand.com/assets/00000000126.png,Europe & Africa,Technology,38528,35035,29970,29440,24041,26452,30131,33696,35942,34864,29495,25071,21009,7444,4138,,,,4
Mercedes-Benz,Germany,https://www.interbrand.com/assets/00000001585.png,Europe & Africa,Automotive,21104,21728,21010,21371,21331,20006,21795,23568,25577,23867,25179,27445,30097,31904,34338,36711,43490,47829,11
NESCAFE,Switzerland,https://www.interbrand.com/assets/00000001550.png,Europe & Africa,Beverages,13680,13250,12843,12336,11892,12241,12507,12950,13056,13317,12753,12115,11089,10651,11406,12257,12517,12661,21
BMW,Germany,https://www.interbrand.com/assets/00000001492.png,Europe & Africa,Automotive,12969,13858,14425,15106,15886,17126,19617,21612,23298,21671,22322,24554,29052,31839,34214,37212,41535,41521,22
Volkswagen,Germany,https://www.interbrand.com/assets/00000001577.png,Europe & Africa,Automotive,7834,7338,7209,6938,6410,5617,6032,6511,7047,6484,6892,7857,9252,11120,13716,12545,11436,11522,30
Ericsson,Sweden,https://www.interbrand.com/assets/00000000056.png,Europe & Africa,Electronics,7805,7069,3589,3153,,,,,,,,,,,,,,,31
Louis Vuitton,France,https://www.interbrand.com/assets/00000001542.png,Europe & Africa,Luxury,6887,7053,7054,6708,6602,16077,17606,20321,21602,21120,21860,23172,23577,24893,22552,22250,23998,22919,33
SAP,Germany,https://www.interbrand.com/assets/00000001564.png,Europe & Africa,Technology,6135,6307,6775,7714,8323,9006,10007,10850,12228,12106,12756,14542,15641,16676,17340,18768,21293,22635,38
IKEA,Sweden,https://www.interbrand.com/assets/00000001529.png,Europe & Africa,Retail,6031,6005,6545,6918,7182,7817,8763,10087,10913,12004,12487,11863,12808,13818,15885,16541,17834,18472,39
Philips,Netherlands,https://www.interbrand.com/assets/00000001559.png,Europe & Africa,Electronics,5481,4900,4561,4464,4378,5901,6730,7741,8325,8121,8696,8658,9066,9813,10264,9400,11336,11519,41
Gucci,Italy,https://www.interbrand.com/assets/00000001517.png,Europe & Africa,Luxury,5149,5363,5304,5100,4715,6619,7158,7697,8254,8182,8346,8763,9446,10151,10385,8882,9385,9969,43
Reuters,United Kingdom,https://www.interbrand.com/assets/00000000971.png,Europe & Africa,Media,4876,5236,4611,3300,3691,3866,3961,4197,,,,,,,,,,,45
Chanel,France,https://www.interbrand.com/assets/00000000040.png,Europe & Africa,Luxury,4141,4265,4272,4315,4416,4778,5156,5830,6355,6040,,,,,,,,,51
adidas,Germany,https://www.interbrand.com/assets/00000001484.png,Europe & Africa,Sporting Goods,3791,3650,3690,3679,3740,4033,4290,4767,5072,5397,5495,6154,6699,7535,7378,6811,7885,9216,52
Rolex,Switzerland,https://www.interbrand.com/assets/00000000140.png,Europe & Africa,Luxury,3561,3701,3686,3673,3720,3906,4237,4589,4956,4609,,,,,,,,,54
BP,United Kingdom,https://www.interbrand.com/assets/00000000027.png,Europe & Africa,Energy,3066,3247,3390,3582,3662,3802,4010,3794,3911,3716,,,,,,,,,57
Moet & Chandon,France,https://www.interbrand.com/assets/00000001548.png,Europe & Africa,Alcohol,2799,2470,2445,2524,2861,2991,3257,3739,3951,3754,4021,4383,3824,3943,,4131,4118,4006,58
Shell,Netherlands,https://www.interbrand.com/assets/00000001565.png,Europe & Africa,Energy,2786,2844,2810,2983,2985,3048,3173,3331,3471,3228,4003,4483,4788,5535,6288,5530,4599,4823,59
Smirnoff,United Kingdom,https://www.interbrand.com/assets/00000001567.png,Europe & Africa,Alcohol,2443,2594,2723,2806,2975,3097,3032,3379,3590,3698,3624,3841,4050,4262,4609,4407,4252,4288,61
Heineken,Netherlands,https://www.interbrand.com/assets/00000001519.png,Europe & Africa,Alcohol,2218,2266,2396,2431,2380,2357,,,,,3516,3809,3939,4331,4221,4822,5123,5181,63
Johnnie Walker,United Kingdom,https://www.interbrand.com/assets/00000001534.png,Europe & Africa,Alcohol,1541,1649,1654,1724,,,,,,,3557,3842,4301,4745,4842,4540,4317,4405,66
Armani,Italy,https://www.interbrand.com/assets/00000000015.png,Europe & Africa,Luxury,1456,1490,1509,,2613,2677,2783,,3526,3303,3443,3794,,,,,,,69
Guinness,Ireland,https://www.interbrand.com/assets/00000000069.png,Europe & Africa,Alcohol,1224,1357,,,,,,,,,,,,,,,,,72
Financial Times,United Kingdom,https://www.interbrand.com/assets/00000000061.png,Europe & Africa,Media,1148,1310,,,,,,,,,,,,,,,,,73
Benetton,Italy,https://www.interbrand.com/assets/00000000023.png,Europe & Africa,Apparel,1008,1002,,,,,,,,,,,,,,,,,74
Nivea,Germany,https://www.interbrand.com/assets/00000000125.png,Europe & Africa,FMCG,,1782,2059,2221,2409,2576,2692,3116,3401,3557,3734,3883,,,,,,,95
Absolut,Sweden,https://www.interbrand.com/assets/00000000005.png,Europe & Africa,Alcohol,,1378,,,,,,,,,,,,,,,,,96
Carlsberg,Denmark,https://www.interbrand.com/assets/00000000037.png,Europe & Africa,Alcohol,,1075,,,,,,,,,,,,,,,,,97
Siemens,Germany,https://www.interbrand.com/assets/00000001566.png,Europe & Africa,Diversified,,1029,,,7470,7507,7828,7737,7943,7308,7315,7900,7534,8503,8672,8553,9415,9982,98
Swatch,Switzerland,https://www.interbrand.com/assets/00000000151.png,Europe & Africa,FMCG,,1004,,,,,,,,,,,,,,,,,99
L'Oreal,France,https://www.interbrand.com/assets/00000001541.png,Europe & Africa,FMCG,,,5079,5600,5902,6005,6392,7045,7508,7748,7981,8699,8821,9874,10162,10798,10930,10674,103
Nestle,Switzerland,https://www.interbrand.com/assets/00000001551.png,Europe & Africa,FMCG,,,4430,4460,4529,4744,4932,5314,5592,6319,6548,6613,6916,7527,8000,8588,8708,8728,104
Danone,France,https://www.interbrand.com/assets/00000001503.png,Europe & Africa,FMCG,,,4054,4237,4488,4513,4638,5019,5408,5960,6363,6936,7498,7968,8205,8632,9197,9322,105
Prada,Italy,https://www.interbrand.com/assets/00000001561.png,Europe & Africa,Luxury,,,2489,2535,2568,2760,2874,3286,3585,3530,,,4271,5570,5977,6222,5504,4716,108
HSBC,United Kingdom,https://www.interbrand.com/assets/00000001525.png,Europe & Africa,Financial Services,,,,7565,8671,10429,11622,13563,13143,10510,11561,11792,11378,12183,13142,11656,10458,10534,110
Hermes,France,https://www.interbrand.com/assets/00000001520.png,Europe & Africa,Luxury,,,,3416,3376,3540,3854,4255,4575,4598,4782,5356,6182,7616,8977,10944,12833,14210,111
Hennessy,France,https://www.interbrand.com/assets/00000000073.png,Europe & Africa,Alcohol,,,,2996,3084,3201,3576,3638,3513,,,,,,,,,,112
UBS,Switzerland,https://www.interbrand.com/assets/00000000157.png,Europe & Africa,Financial Services,,,,,6526,7565,8734,9838,8740,4370,3812,3799,,,,,,,114
Porsche,Germany,https://www.interbrand.com/assets/00000001560.png,Europe & Africa,Automotive,,,,,3646,3777,3927,4235,4603,4234,4404,4580,5149,6471,7171,8055,9537,10129,116
Audi,Germany,https://www.interbrand.com/assets/00000001490.png,Europe & Africa,Automotive,,,,,3288,3686,4165,4866,5407,5010,5461,6171,7196,7767,9831,10328,11799,12023,117
ING,Netherlands,https://www.interbrand.com/assets/00000000087.png,Europe & Africa,Financial Services,,,,,2864,3177,3474,3880,3768,,,,,,,,,,118
Cartier,France,https://www.interbrand.com/assets/00000001496.png,Europe & Africa,Luxury,,,,,2749,3050,3360,3852,4236,3968,4052,4781,5495,6897,7449,7924,7738,7547,119
Novartis,Switzerland,https://www.interbrand.com/assets/00000001267.png,Europe & Africa,Pharmaceuticals,,,,,,7746,7880,,,,,,,,,,,,123
Zara,Spain,https://www.interbrand.com/assets/00000001579.png,Europe & Africa,Apparel,,,,,,3730,4235,5165,5955,6789,7468,8065,9488,10821,12126,14031,16766,18573,124
Bulgari,Italy,https://www.interbrand.com/assets/00000000029.png,Europe & Africa,Luxury,,,,,,2715,2875,,,,,,,,,,,,126
Burberry,United Kingdom,https://www.interbrand.com/assets/00000001494.png,Europe & Africa,Luxury,,,,,,,2783,3221,,3095,3110,3732,4342,5189,5594,5873,5362,5135,129
AXA,France,https://www.interbrand.com/assets/00000001584.png,Europe & Africa,Financial Services,,,,,,,,7327,7001,6525,6694,6694,6748,7096,8120,9254,10579,11073,131
Allianz,Germany,https://www.interbrand.com/assets/00000001486.png,Europe & Africa,Financial Services,,,,,,,,3957,4033,3831,4904,5345,6184,6710,7702,8498,9528,10059,132
H&M,Sweden,https://www.interbrand.com/assets/00000001521.png,Europe & Africa,Apparel,,,,,,,,,13840,15375,16136,16459,16571,18168,21083,22222,22681,20488,133
Ferrari,Italy,https://www.interbrand.com/assets/00000001511.png,Europe & Africa,Automotive,,,,,,,,,3527,3527,3562,3591,3770,4013,,,,4876,136
Lancome,France,https://www.interbrand.com/assets/00000000100.png,Europe & Africa,FMCG,,,,,,,,,,3235,3403,,,,,,,,139
Puma,Germany,https://www.interbrand.com/assets/00000000137.png,Europe & Africa,Sporting Goods,,,,,,,,,,3154,,,,,,,,,141
Banco Santander,Spain,https://www.interbrand.com/assets/00000001563.png,Europe & Africa,Financial Services,,,,,,,,,,,4846,5088,4771,4660,5382,6097,6223,6702,144
BARCLAYS,United Kingdom,https://www.interbrand.com/assets/00000000022.png,Europe & Africa,Financial Services,,,,,,,,,,,4218,4259,,,,,,,145
Credit Suisse,Switzerland,https://www.interbrand.com/assets/00000000048.png,Europe & Africa,Financial Services,,,,,,,,,,,4010,4090,3866,,,,,,146
ZURICH,Switzerland,https://www.interbrand.com/assets/00000000166.png,Europe & Africa,Financial Services,,,,,,,,,,,3496,3769,,,,,,,148
Land Rover,United Kingdom,https://www.interbrand.com/assets/00000001539.png,Europe & Africa,Automotive,,,,,,,,,,,,,,,4473,5109,5696,6095,157
Hugo Boss,Germany,https://www.interbrand.com/assets/00000001047.png,Europe & Africa,Apparel,,,,,,,,,,,,,,,4143,4270,,,159
LEGO,Denmark,https://www.interbrand.com/assets/00000001540.png,Europe & Africa,FMCG,,,,,,,,,,,,,,,,5362,6691,7024,160
MINI,United Kingdom,https://www.interbrand.com/assets/00000001547.png,Europe & Africa,Automotive,,,,,,,,,,,,,,,,4243,4986,5114,162
Dior,France,https://www.interbrand.com/assets/00000001505.png,Europe & Africa,Luxury,,,,,,,,,,,,,,,,,4909,4587,165